name,position,proBowl,age,qb,rb,k,te,wr,gamesPlayed,gamesStarted,receptions,longestReception,longestRushingAttempt,pickNumber,ydsSkd,fantasyPoints,imgPath,createdAt,updatedAt
Greg Olsen,TE,0,31,0,0,0,1,0,11,11,58,78,0,31,0,169.498,gregolsen.png,,
Delanie Walker,TE,0,32,0,0,0,1,0,11,8,49,47,3,175,0,135.56,delaniewalker.png,,
Travis Kelce,TE,0,27,0,0,0,1,0,11,11,57,44,-5,63,0,142.418,tyhilton.png,,
Coby Fleener,TE,0,28,0,0,0,1,0,11,6,37,50,2,34,0,117.068,cobyfleener.png,,
Tyler Eifert,TE,0,26,0,0,0,1,0,5,1,21,71,0,21,0,63.825,tylereifert.png,,
Gary Barnidge,TE,0,31,0,0,0,1,0,12,12,40,43,0,29,0,155.526,garybarnidge.png,,
Zach Ertz,TE,0,26,0,0,0,1,0,8,8,35,30,0,35,0,99.588,zachertz.png,,
Antonio Gates,TE,0,36,0,0,0,1,0,9,5,30,19,0,0,0,113.442,antoniogates.png,,
Julius Thomas,TE,0,28,0,0,0,1,0,9,6,30,24,0,129,0,90.189,juliusthomas.png,,
Zach Miller,TE,0,32,0,0,0,1,0,10,8,47,34,0,180,0,124.759,zachmiller.png,,
Martellus Bennett,TE,0,29,0,0,0,1,0,11,8,42,58,6,61,0,134.091,martellusbennett.png,,
Jimmy Graham,TE,0,30,0,0,0,1,0,11,10,51,40,0,95,0,141.11,jimmygraham.png,,
Eric Ebron,TE,0,23,0,0,0,1,0,8,8,35,61,1,10,0,103.904,ericebron.png,,
Jason Witten,TE,0,34,0,0,0,1,0,11,11,52,35,0,69,0,157.073,jasonwitten.png,,
Dwayne Allen,TE,0,26,0,0,0,1,0,9,9,24,20,0,64,0,96.835,dwayneallen.png,,
Charles Clay,TE,0,27,0,0,0,1,0,11,11,36,33,0,174,0,122.055,charlesclay.png,,
Clive Walford,TE,0,25,0,0,0,1,0,10,3,26,31,0,68,0,75.789,clivewalford.png,,
Jared Cook,TE,0,29,0,0,0,1,0,4,3,12,47,0,89,0,60.007,jaredcook.png,,
Austin Seferian-Jenkins,TE,0,24,0,0,0,1,0,5,0,6,30,0,38,0,29.648,austinseferianjenkins.png,,
Jordan Cameron,TE,0,28,0,0,0,1,0,3,3,8,13,0,102,0,37.998,jordancameron.png,,
Kyle Rudolph,TE,0,27,0,0,0,1,0,11,11,48,22,0,43,0,131.807,kylerudolph.png,,
